d,u,t,b
"23.10.2012, 10:47",Nanda,"[Zurich, to give] Wardrobe, coffee table etc","I'm posting this for some friends. They've moved on and have these things to give away and they're all in pretty good condition.
Wardrobe (see pic)
Coffee table (just beige ikea about 2-3 yrs old), 
TV and cabinet (a few yrs old) 
Printer (copy scan print and a few yrs but good), 
microwave (1yr)
All are in pretty good nick.
If you're interested in picking any of these up, please send me a PM."
"18.10.2012, 20:04",astrid,Free: Mountain buggy stroller,"I have mountain buggy - Rollerbug model to give away. includes carrycot.
It is like this but in grey:http://babywalker.com/Mountain_Buggy_Strollers.htm
pm if interested."
"21.10.2012, 13:40",neil15,"Wooden Kitchen Trolley [6340, Baar] - Going Free",Free wooden kitchen trolley.  Collect from Baar (6340).  Message me if interested.
"22.10.2012, 22:31",lucy_sg,[Zurich] For free: sand color suede pillows,"I am giving away 2 suede pillows in sand color. Bought them Interio a few years ago, have been in the cellar for the past couple of years. 
Pick up is in Zurich (Seefeld). Alternatively, I can meet with you in the HB or close to the airport.
Please PM me for more details"
"15.10.2012, 11:46",basel2010,Free TV STand / Rack / Center Table [Basel],"Available for free Home furnitures:1) TV Stand (Non Ikea - Good Quality Wood) 
2) Center Table
3) Stand - can be used as a Shoe rack or a Book stand.
Attached Pictures:"
"22.10.2012, 11:09",gerisherk,Books for Toddlers (Zürich),"Free books, pick up Oerlikon/Seebach"
"27.09.2012, 21:06",Chammy,"Free!! Assorted furniture items, 8038 Zurich","Hi, 
With my upcoming move fast approaching, I have a few furniture items that are going spare. None of the stuff is great quality (it was bought cheaply last year, since I was only meant to be here 1 year.... ) but it can do a job. It's also free, so if someone wants it just to tide themselves over, etc - then it's yours!  
1 - Ikea double bed and mattress (140 cm)http://www.ikea.com/ch/de/catalog/products/30185064/
2 - Ikea Malm 3 drawer chest of drawershttp://www.ikea.com/ch/de/catalog/pr...921/#/20062596
3 - Ikea Lack coffee table http://www.ikea.com/ch/de/catalog/products/10065958/
NB: There are some scratches down one of the legs that happened during transit (who knows how...?!). In situ pictures can be found at the following link. http://s1182.photobucket.com/albums/x447/ham_12345/
Items to be collected from 8038 Zurich (exact address available through PM). Pick up this weekend ideal (particularly Saturday). There might be the odd extra item added during the weekend."
"14.10.2012, 14:15",Blani,Free - extentions sockets - Basel,I have 3 of them to give away and I more cable. see the picture
"15.10.2012, 13:47",ne6ef,Free: coupon for registration to Lausanne Marathon all distances,"Hi, I have a coupon for free registration to Lausanne Marathon 28.10.2012 good for all distances. I do not need it because I am already registered for the 42.195 km distance but if you or one of your friends want it please let me know. I have posted this anonce on few other places, so the first to respond will have the coupon. ASAP
Here are the distances and the fees you will save:Marathon	CHF 75.- ½ marathon	CHF 45.- 10km	CHF 35.- Handbike ½ marathon	CHF 28.- Nordic Walking 10km	CHF 30.- Walking 10km	CHF 29.- Mini children A 2.6km (2002 à 2005) *	CHF 15.- Mini children B 4.2km (1996 à 2001) *	CHF 15.- * Mini children A and B are strictly for young people from 1996 to 2005. No parent can not run in this race
For late registration there is additional 10 CHF free"
"20.10.2012, 18:44",Chippers,"FREE 2-seater, black, leather, sofa [Aesch, BL]","Collect from Aesch, Baselland.
In generally good condition, worn on the main seat-panel (otherwise we wouldn't be giving away).  Some good life left in it.  Our kids use it because they aren't yet allowed on our 'grown-up' sofas ! Would be fine for a playroom, attic, etc."
"19.10.2012, 21:22",Swissbean,"Free: Couch, Coffee Table, End Tables [Niederhasli ZH]","Free for Pickup:
White 2-person sofa
White Coffee Table
White End Table
Light birch wood End Table
Everything has been disassembled for easy transport. If you're interested just drop me a message and we can talk date, time and address"
"14.10.2012, 17:11",mitucool,(Now FREE) Table ( ZH),"Table for sale.
Height 42 . 
Length * Width = 55 * 55
Cost 20 Francs.
you can pick the table from bucheggplatz ( I live near by. ) .
or pm me.
Thanks
Mitesh"
"19.10.2012, 11:04",dlpeiyee,Free:Envelope size C5 with left window [Zürich],Pick up at the Dermatologie USZ. More or less 200pcs.
"17.10.2012, 14:00",ShelbyGT500,Ikea Chairs and stalls now Free [Basel],"I did try to sell these but noone could pick them up in time (I'm moving end of october), so these are now free. The cushions have some wine/tomato marks so they probably need replacing but can be bought seperately in ikea.
Pick up only in central Basel, please contact me if you're interested."
"18.10.2012, 15:25",Martha,"Free - Tv table, PC table and shelf","Free PC table:http://www.flickr.com/photos/7470583...in/photostream, the middle shelf (keyboard shelf) can be pulled out. The whole table is on wheels.
Free TV table:http://www.flickr.com/photos/7470583...in/photostream, Since this photo was orginally taken we have found a 2nd shelf the same size as the litle one that fits either next to it or higher than the bigger part of the table.
Free Shelf unit with sliding down door:http://www.flickr.com/photos/7470583...in/photostreamhttp://www.flickr.com/photos/7470583...in/photostream
The sliding door is in full working condition. This shelf has served us very well for years, but no longer fits the loom we want to achieve.
All items are mounted but can be demounted by the person who picks them up. They are available for pick up in Tecknau, 5 minutes from Gelternkinden.
Message me if interested."
"14.04.2012, 20:57",OBone,( Now FREE ) 2 x Blue two seater sofas,"Hi,
Im about to take delivery of some new sofas so am selling my current ones
the sizes are 
90 CM high
90 CM wide
150 CM Long
They are about 8 years old and in reasonable condition with a few minor scuffs due to wear and tear over the years but overall are still very comfortable sofas. All of the covers are removable and washable so is easy to keep clean.  The base of the sofas are on coasters, not wheels so will not damage any hard wooden flooring.
Preferably i would like to sell them as a pair so will offer a deal for the two.
I am selling them for 50CHF each or 90CHF for the two if sold to a single purchaser - perfect for someone setting up a new apartment and need furniture.
I have attached pictures of the sofas
Pick up from Aeugst Am Albis (canton ZH)
Please PM me if interested"
"29.09.2012, 22:48",ragini18,Now Free!:Few Household things [ZH],"Hello all,
I want to sell few thing.
1.Center table(square). 8chf
2.6 plates and 6 soup bowls.3chf
3.1 flask from Ikea.3chf
4.1wok from Ikea.2chf
PM  me if interested.
Thanks."
"10.10.2012, 09:57",nar,Fribourg: Couch and wardrobe to give away,"Hello everyone, 
I am replacing my couch and wardrobe, but I do not want to throw away these ones as they are in a good condition. It is to be picked up from my flat in central Fribourg, from this Friday on (12 October). 
Let me know if you are interested. 
Cheers, 
N."
"10.10.2012, 09:33",Rangatiranui,"Free box of kiddie clothes.  1 for girls, 1 for boys, 18m to 2 or 3 years.","Mostly tops as trousers seem to lose their knees.
Any takers?
Pick up in Baden area, or at Zurich Haubtbahnhof or Paradeplatz.
Please PM."
"07.10.2012, 17:09",LadyAmmy_12,"Free Dressing table and bookshelf [Oerlikon, ZH]","Hi all,
I got dressing table with a stool, bookshelf and DVD player to give away for free. Item is to be collected in Zurich Oerlikon.
PM me if interested.
Regards,
Pornpan"
"03.10.2012, 14:43",Yulie,[Zürich]Free TV stand,"We are moving out of our apartment and we give away our TV stand. It won't fit well  in our new apartment.
This is the approximate size: 140cm x 60cm x 57cm. Not perfect but in good condition.
Photos:https://plus.google.com/photos/11292...CNvRjf69laTxXA
It's available to pick up from Wollishofen, Zurich.
Just drop me a message if interested!
Cheers, 
Yulie."
"14.10.2012, 21:54",Pepper,Books and general household,"I have the following items available for collection in Thalwil.http://www.flickr.com/photos/4895494...57631641256931
I have also have the following IKEA coffee table for collection http://www.ikea.com/gb/en/catalog/pr...958/#/20104290.  It is in the birch colour.  It's been in our spare room so has hardly been used.
Please PM if you are interested (and please don't contact me to say you want all the books and then never make contact again!)"
"13.10.2012, 19:12",ragini18,Free sofa,"Hello All,
I have one sofa to give away,if someone is interested PM me 
Ragini."
"14.10.2012, 14:39",ngoamlb,Free Childrens Bedroom furniture 8134 Adliswil,"Various items free for collection - we have used as two setsset 1 - pineConvertible cot/ junior bed with Toyrs R Us (TRU) mattress and teething rails. (sorry is upside down, but beyond my technical ability to rotate)Drawer unit with four wide drawers and 2 small drawers (refer above photo comment)Changing table.Not a set perse, but the same colour type allowed us to use as such.set 2 - cherryAll from the same set by the European Furniture Company (oxford range)Convertible cot/junior bed with TRU mattress, removable slats to enable to be used before converting to a junior bed but when baby can climb out. Sample image as was disassembled before taking picture - can add end panel pics of actual item if desired. Dresser with two cupboards and drawers, one shelf in each cupboardWall mounted shelf (shown on dresser in picture)."
"30.09.2012, 14:48",irish87,free sofa bed [Aarau],"Free sofa bed not all that old and in perfect condition we have just ended up  with too many sofas and not enough rooms to have them in, we live in Aarau and if you are interested PM me and i will forward you on the address details :-) [ATTACH][/ATTACH]"
"13.10.2012, 16:25",Johnah,"[Free] Sony TV [Baar, Zug]","Hi, 
I am getting rid of this Sony trinitron model KV-25X1B (25 inches). No remote.
I was about to take it to the bin, but if by chance somebody wants it, you can come and get it. Send me a private message to give you the address.
Regards,
Johnah"
"12.10.2012, 18:35",chill_lee,"free eTicket for boat to give away, value 225 ,-","Hello
I have 3 vouchers that I can't use.
they are valid for the Bielersee, Murtensee and Neuchatelsee.
Regular price 76,- each!
Expires on Sunday 14th Oct. If you have nothing planned for the weekend, why not give it a try? 
email me if you want them
for schedules check: www.navig.ch"
