d, u, t, b
"11.11.2012, 19:28",eng_ch,"Free sofa, candle lantern, CRT TV [Richterswil]","I have the following items available for free. Delivery available for the sofa for a small charge to cover fuel and muscle power!
White sofa
Dimensions 182 x 88 cm, 67 cm high
Cover is removable and washable 
(Cushions are not included)
Candle lantern, solid brass base, glass cover
I also have a CRT TV, approx. 26"" screen, in case anyone wants it before I recycle it"
"25.11.2012, 11:12",Jaceq,[FREE] Carseat group 0 (0-13kg) - Winterthur,"I've got a carseat with base to give away. group 0 from birth.
As per picture.
Collection in Winterthur  as soon as possible.
PM me to schedule collection."
"26.11.2012, 09:34",paulbarry2003,Free Baby Changing Table (Zürich),"Last item in my recent giving away extravaganza is the baby changing table in the picture attached.
Anyone who can collect this evening gets it....PM only please.
Cheers
Paul"
"16.11.2012, 11:11",andrewota,Wanted: moving boxes near Zurich (Horgen),"Hi! 
We are in the process of packing and moving to Perth, WA. 
Anybody have any large moving boxes they would like to dispose of?
Thanks!"
"25.11.2012, 13:40",paulbarry2003,Free Furniture (Zurich),"Hi everyone,
i have a lot of furniture which i am happy to give away because i am leaving CH.  Some of it is high quality, some of it middle of the road but it is first come first served on each item.
It needs to be collected either tonight, monday night or anytime on tuesday...otherwise it's off to the Brocki.
The big couch breaks into two pieces for transport. Unfortunately no measuring tape here so if people need sizes i can estimate on PM.
Please PM if interested.
Cheers
Paul"
"21.11.2012, 11:38",Larry2009,[Free] 2 Wardrobes + Dresser [Zurich],"IKEA Kullen Wardrobe (2 wardrobes) 190x145x51 cmone wardrobe has a mirror in the middle~12 months old  Pickup in Zurich IKEA MALM Dresser with 6 drawers
160x48x77 cm
~12 months old
     Pickup in Zurich"
"24.11.2012, 12:37",paulbarry2003,Free Baby Crib & Rockers (Zurich),"Hi Folks,
i have a baby crib and rockers to give away - See the attached picture - First person to message me and can collect in the next few days gets the stuff.  I live next to the HB at Sihlpost in Zurich centre.
Cheers
Paul"
"19.11.2012, 14:21",livinginswiss,Ikea Billy for free,"Hi 
I am giving away Ikea Billy(Eiche) for free. Pick up in Stäfa(ZH).
Please PM me if interested,
Thanks."
"24.11.2012, 21:57",highrotation,"FREE: tickets to Chrysta Bell @ Papiersaal, ZH, Tues. 27.11.12","I've got some FREE tickets to Chrysta Bell (David Lynch's latest muse) @ Papaiersaal, ZH, Tues. 27.11.12:How does this work?
PM me for details if you want 'em!"
"24.11.2012, 11:59",Cybersuz,FREE! Marvel Fine Bone China Dinner Service (Adliswil),"Hi all,
We have a 36 piece Marvel Fine Bone China Dinner Service to give away if anyone is interested.
Unwanted gift, still in box, never opened(except to take photo), never used."
"24.11.2012, 12:27",everyday-a-new-dress,Free clothes rack for pick up (Baden),"Free clothes rack (Baden)
First come, first get."
"24.11.2012, 11:13",Cybersuz,"FREE! Canon printer, scanner, copier  - Adliswil","Hi all,
We are de-cluttering and we have a Canon Pixma combo printer, copier & scanner to give away. 
In excellent working order. No ink cartridges."
"20.11.2012, 21:49",ashi_queen,For free coffee tables,"Hi all
i have 2 black wooden coffee tables to give away if anyone interested please pm.first come first serve.
I live in zurich zone 21."
"20.11.2012, 21:41",ashi_queen,For free office drawers,"Hi all
i have office drawers in grey color to give away if anyone interested please pm.
I live in zurich zone 21."
"20.11.2012, 21:38",ashi_queen,"For free 21"" crt color tv","Hi all
i have 21""crt color tv to give away if anyone interested please pm.first come first serve.
I live in zurich zone 21."
"23.11.2012, 22:02",everyday-a-new-dress,Free ikea coffee table (Baden),"Free Ikea coffee table for pickup within a week.
Please click thank you"
"19.11.2012, 09:30",newinhere,Carton Br.oxes to pick up from ZRH 8308,"Hello,
I have several boxes to give away with different sizes and forms.
Ready to pick up from Monday the 26th of November.
All for free under one condition: You may not choose among them and must take them all! :-)
You may need a big car since they are not folded! (folding might also be possible!
Interested? Let me know
Cheers!"
"12.11.2012, 14:29",Larry2009,Free: SONY Trinitron TV [Zurich],"About 69 cm (or 27"") screen size with remote - in working condition
TV stand included, has a rub (see pic)
Located in Zurich
pickup only"
"22.11.2012, 12:00",romainesol,Bed Pfister Möbel 100x200 for free,"Bed is in good condition. It is part of a girl furniture bed room, colour pale yellow. It must be picked-up in Zug. It has a mattress and a slatted frame to go with. Mattress has some stains from coffee but otherwise ok.
Please pm me if interested."
"21.11.2012, 20:59",Cybersuz,FREE! Sony PlayStation 2 with 23 Original Games & other extras (Adliswil),"Hi all,
Giving away a Sony PlayStation 2 Console
23 original games incl titles like ""God of War"", ""Need for Speed"", ""Silent Hill 4"" etc etc.
1 Original PS2 Controller
1 Original PS2 8meg Memory card
1 PS1 Memory card to play all the old classics and save you progress
2 Gameplay Wireless Controllers
2 Additional Memory Cards (one with 600 blocks)
All cables
Console is in reasonable condition
Wireless controllers are in good condition
Games are in excellent condition, no kids near them ever."
"10.10.2012, 21:53",simon_ch,[Schaffhausen] 160cm bed slats (1 pc),"Give away nice 160cm wide bed slats (compatible with Ikea mattresses) 
Not the usual 2x80cm slats but one big one. Has to be picked up in Schaffhausen"
"20.11.2012, 12:08",zlatan,Couch for free,"Hi all, 
Since I move from Zurich, I have a nice couch to give away. For free.
Its in a very good condition. 
Here are attached photos. 
I live at Oerlikon. 
Thanks."
"21.11.2012, 15:12",roseborough,Free Besta Framsta wall unit in Oerlikon,"has to go by Sunday night, if you want it come get it.http://www.flickr.com/x/t/0092009/ph...7631636443485/"
"27.10.2012, 15:41",slapacka,Grill - One year old (Luzern/Lucerne),"Black charcoal grill.  One year old.  Please see picture.  First come, first serve.  
Please PM if interested.  Pick up in  Merlischachen (10 minutes from  Luzern.  Thank you!"
"21.11.2012, 11:00",SwissMs2000,Free Coop Stickers,I have 16 not stuck to a sheet if someone is collecting them. Happy to send them off if you send me a self addressed stamped envelope.
"15.11.2012, 10:11",aus_ch,Free Sofa,"FREE!
2 pieces angle sofa in good condition, in suede finish.
To collect ASAP in Seuzach, 4km from Winterthur.
(no stairs)"
"20.11.2012, 23:30",anjulie,2 Tickets for Twilight Breaking Dawn Part 2  ZH tomorrow,"Hi, 
just won two tickets but have plans for tomorrow. 
Please PM if interested, first come first serve. 
The show starts 20.30, doors open 20.00 and tickets are not with seat numbers. 
Cinema is Metropol in Zurich"
"05.04.2010, 15:04",Castro,[Basel] Sony DAV SB-100 home theatre system,"Going to be selling a lot more stuff over the coming weeks as we are downsizing to a much smaller apartment 
Anyway, I have for sale today a Sony DAV SB-100 home theater system with 5 surround sound speakers + a nice meaty subwoofer. It plays audio CDs, DVDs, MP3s etc.. and its got an FM RDS tuner. Its several years old but works perfectly. The only issue is that I've misplaced one of the 5 sets of speaker leads, which I'll hopefully find once I rummage about in the cellar, but if not any speaker wire will do the trick. So who'll give me CHF 110? (collection from Basel preferred)"
"20.11.2012, 14:40",miss_bean,couch for free. Dietikon,couch for free
"18.11.2012, 12:32",ashi_queen,"for free vacuum cleaner,plates","Hi all
i live in zurich zone 21 i have some stuff to give for free
vacuum cleaner
crockery plates and bowls."
"20.11.2012, 16:15",hornetzoo,Wanted: Moving boxes [zurich],I'm looking for any free or inexpensive boxes. I live in Kreis 6.
"18.11.2012, 14:30",Spellbound,Wanted in Basel Moving Boxes,"Hey there,
Please let me know if you have moving boxes you no longer need, or don't need temporarily for a day or 2. They are needed for an apartment move within Basel. Up to 10 would be great, but any amount is a help.
Kind Regards."
"22.10.2012, 14:27",kxandra,For free: ~50 Moving boxes (Basel),"Hello, 
we just moved to St. Louis and have around 50 Banana boxes from Coop.
we'll store them in the cellar, at our former apartment in Basel until October 30th.
PM us if interested
Cheers
kx'"
"14.11.2012, 08:41",ashi_queen,"For free bed with matteress,cupboard","Hi all 
i live in zurich as i am moving i have some stuff to give it for free
one queen size bed with matteress (wooden)
one two door cupboard
5 plastic chairs
one single bed matteress
will post pics soon if interested pm me."
"10.11.2012, 18:52",NewOneINseefeld,"(FREE) For baby: Viburcol, Lactose and teether (ZH)","Pick up in Seefeld, 8008 ZH.
For babies:
- Viburcol N: homeopathic medicine, suppositories (full box, exp: 12, 2012)http://www.modernhomeopathicproducts.co.uk/Viburcol-N
- ""MAM"" oral care teether PINK rabbit- teeth and brushing: washable! - used only once but washedhttp://www.babycity.co.uk/mam-oral-c...t-pd-3833.html
- ""Morga"" Bio Lactose (milk sugar): 500 gr, for babies and breastfeeding mothers (used 2-3 times, exp. 23.12.2012)http://www.morga.ch/pages/en/product...471/01201.html
Thanks!"
"20.11.2012, 11:20",Wisc,Free Furniture - must go today 20.11.2012!,"Due to my move, I must get rid of a few more things TODAY.  Tomorrow afternoon they will have to be thrown away. 
Ignore the prices listed, everything is FREE!  You just need to pick them up today.
In addition, I have plates and drinking glasses as well as a single bed with solid wood frame.http://www.pixum.de/meine-fotos/#album/6438707"
"18.11.2012, 18:06",nellie123,FREE adjustable weightlifting set [ZURICH],"Giving away following adjustable weightlifting set.http://img690.imageshack.us/img690/1...ov18153156.jpg
Please PM for reservation and pick up details."
"16.11.2012, 19:18",Suhair,buggyboard-basel,"Lascal buggyboard Maxi- good condition. 
 free but good bottle of red italian or french would be appreciated :-)"
"19.11.2012, 18:09",ashi_queen,For free computer table and chair,"Hi all
i have this wooden computer table and adjustable height chair to give away.
I live in zurich zone 21.please pm if interested.
First come first serve."
"12.11.2012, 11:06",Serbanna,( Conditionally ) IPhone4 for free! ( takeover of contract ),"Hi there, 
I have  IPhone4 in great condition, with sunrise Flat4 contract for 1 year from now, and very special Number.  
If you wanna have it, please let me know via PM ( Private Message ), Zurich area to pick it up.
It's free!"
"19.11.2012, 00:48",Leslie Anne,Free couch and coffee table [Zug],"I am feeling a bit cramped in our narrow flat and looking to give away two beloved furniture items to anyone who is able to pick them up:
A well loved dark wood coffee table from Weylandt's in South Africa
An even more loved beige couch.  NOTE that the couch is on the second floor and will need to exit via the outside balcony.  You will require 3 or 4 rugby players to accomplish this feat. (That is how we got it in.)
Pictures in my previous post: http://www.englishforum.ch/sale-want...table-zug.html 
Please PM me if interested.
Thank you and look forward to meeting those rugby players..."
"07.03.2012, 23:00",ecb,Free - All the wood you can chain saw,"So, this is one of the weirder ones I have offered ..
We own some land in Delémont and visited it today to discover that some kind farmer (we think ..) has dumped about 6 tree trunks and large branches on the land (trunks are about 40cms in diameter so not huge but not small either)
Before we arrange for this to be disposed of, if anyone has a chain saw and fancies some firewood, do let me know and I will point you in the right direction"
